phone,email,credit_score,age_group,family_background,income,employment_type,property_type,loan_amount,down_payment,property_search_frequency,budget_tool_usage,listing_saves,email_clicks,whatsapp_interactions,time_to_purchase,emi_affordability,job_stability,intent_score,high_intent
+91-7760366580,lead6086@example.com,607,18-25,Married with Kids,308250,Salaried,Commercial,2196155,842036,2,2,3,2,5,5,1.75,14.6,52,False
+91-9537599506,lead6087@example.com,594,18-25,Married,284623,Salaried,Apartment,2022560,706018,2,1,4,0,1,2,1.76,0.5,44,False
+91-9566604583,lead6088@example.com,598,36-50,Married with Kids,901261,Salaried,Commercial,7140487,1664155,2,0,6,3,1,3,1.58,0.5,57,False
+91-8960839066,lead6089@example.com,687,36-50,Married,870759,Freelancer,Villa,6495529,1367810,0,2,4,1,1,2,1.68,3.2,67,True
+91-9710328466,lead6090@example.com,638,26-35,Single,575057,Salaried,Villa,3387919,1298958,6,3,4,0,3,7,2.12,2.0,60,True
+91-9730959828,lead6091@example.com,740,36-50,Married,1165298,Salaried,Plot,8285395,2296033,0,1,6,3,1,6,1.76,5.5,77,True
+91-9422294927,lead6092@example.com,624,26-35,Married,877183,Self-Employed,Villa,6035057,1566145,1,3,5,1,4,15,1.82,4.3,65,True
+91-8868213586,lead6093@example.com,669,26-35,Single,1097457,Business Owner,Apartment,6536478,2531763,2,4,10,0,2,49,2.1,4.8,77,True
+91-9248242739,lead6094@example.com,574,26-35,Single,996325,Business Owner,Apartment,5235836,1407244,7,0,3,3,1,26,2.38,2.2,69,True
+91-9747862122,lead6095@example.com,595,26-35,Married,838886,Self-Employed,Plot,6157343,1359527,4,4,4,2,0,2,1.7,5.5,69,True
+91-9746752914,lead6096@example.com,628,26-35,Married with Kids,639856,Self-Employed,Plot,4468833,1527958,3,2,4,5,1,4,1.79,6.6,64,True
+91-9292585396,lead6097@example.com,681,36-50,Single,1097023,Salaried,Apartment,6099593,1986598,1,2,1,3,1,0,2.25,2.7,78,True
+91-8329985271,lead6098@example.com,587,26-35,Married,755968,Salaried,Villa,4718348,1385717,3,4,6,2,5,14,2.0,5.1,64,True
+91-8491076495,lead6099@example.com,607,26-35,Married,546250,Salaried,Apartment,2852705,676594,4,1,5,1,2,12,2.39,3.0,55,False
+91-9068678214,lead6100@example.com,564,26-35,Married with Kids,561864,Salaried,Villa,2887718,662657,1,1,3,2,5,17,2.43,0.2,62,True
+91-9317856944,lead6101@example.com,673,26-35,Single,840793,Salaried,Apartment,6624619,1715513,5,3,4,2,3,10,1.59,0.8,83,True
+91-7975509246,lead6102@example.com,579,26-35,Married with Kids,810906,Self-Employed,Plot,6190452,1916555,4,0,7,4,5,4,1.64,2.1,72,True
+91-7384631600,lead6103@example.com,560,18-25,Married,253838,Salaried,Apartment,1392818,407392,4,3,5,1,2,14,2.28,10.0,52,False
+91-8897775581,lead6104@example.com,552,26-35,Married,630223,Salaried,Commercial,4077574,1083990,2,2,8,0,6,1,1.93,3.9,68,True
+91-8322283789,lead6105@example.com,539,18-25,Single,298394,Self-Employed,Villa,1914627,402463,3,0,4,2,4,6,1.95,0.5,47,False
+91-8571027407,lead6106@example.com,551,26-35,Married with Kids,465855,Salaried,Apartment,3208885,681543,10,1,5,1,4,16,1.81,20.3,56,False
+91-8770401882,lead6107@example.com,653,36-50,Single,1027142,Salaried,Apartment,6566057,2454179,2,3,5,2,1,7,1.96,0.3,84,True
+91-8115862756,lead6108@example.com,521,18-25,Married,303031,Salaried,Plot,1889538,487898,5,3,7,2,6,1,2.0,0.6,84,True
+91-7668801732,lead6109@example.com,641,36-50,Married with Kids,1026937,Salaried,Commercial,6531880,2125117,1,2,1,4,3,12,1.97,0.5,63,True
+91-8303835765,lead6110@example.com,581,26-35,Married,958837,Business Owner,Villa,5808758,1682474,2,2,6,5,4,8,2.06,1.6,73,True
+91-7045336904,lead6111@example.com,557,18-25,Single,361830,Salaried,Apartment,2047838,435917,1,3,6,7,4,26,2.21,3.7,60,True
+91-7000396634,lead6112@example.com,598,36-50,Married,883319,Salaried,Commercial,4723432,1661161,3,4,6,3,1,3,2.34,4.0,93,True
+91-9247626139,lead6113@example.com,571,36-50,Married with Kids,1267497,Salaried,Apartment,9118247,3391362,1,4,6,3,2,3,1.74,3.7,82,True
+91-7585405992,lead6114@example.com,568,36-50,Single,331728,Freelancer,Apartment,2144184,718094,2,2,4,4,2,0,1.93,0.4,66,True
+91-8476974480,lead6115@example.com,636,36-50,Married with Kids,1386909,Business Owner,Apartment,7428846,1730360,4,1,6,0,1,1,2.33,18.8,67,True
+91-8231634482,lead6116@example.com,650,51+,Married with Kids,1551539,Self-Employed,Apartment,10427567,3188567,3,1,2,2,2,3,1.86,0.9,76,True
+91-9015189868,lead6117@example.com,565,26-35,Single,724961,Salaried,Apartment,4551432,1005731,1,3,2,4,1,18,1.99,5.0,44,False
+91-9298232225,lead6118@example.com,616,36-50,Married,818524,Salaried,Apartment,4926373,1830755,3,2,7,3,3,0,2.08,3.9,87,True
+91-7035721701,lead6119@example.com,616,18-25,Married,273925,Self-Employed,Apartment,2187976,538227,3,5,4,3,3,3,1.56,3.6,55,False
+91-9953949477,lead6120@example.com,555,26-35,Married with Kids,579766,Salaried,Plot,4606931,1453153,1,1,3,3,4,8,1.57,1.4,46,False
+91-9112830350,lead6121@example.com,562,26-35,Married with Kids,596468,Salaried,Apartment,3609426,1354131,2,2,4,2,3,2,2.07,5.4,65,True
+91-9048987473,lead6122@example.com,633,26-35,Married,536576,Salaried,Plot,3722690,809913,5,2,2,1,5,14,1.8,5.3,55,False
+91-8286817379,lead6123@example.com,670,36-50,Single,1522121,Business Owner,Villa,12097899,3629343,2,2,4,2,0,1,1.57,4.4,71,True
+91-7039224201,lead6124@example.com,638,26-35,Married,841608,Business Owner,Villa,6321251,2011789,4,2,8,2,5,7,1.66,2.2,74,True
+91-8848705588,lead6125@example.com,563,26-35,Single,407764,Freelancer,Villa,3070157,837081,5,1,8,3,3,2,1.66,3.3,59,False
+91-8258093032,lead6126@example.com,713,26-35,Married,504422,Salaried,Villa,2778196,865407,3,2,2,2,5,0,2.27,1.1,71,True
+91-9564111605,lead6127@example.com,678,36-50,Single,661843,Freelancer,Apartment,4527025,1219038,2,2,10,3,3,3,1.83,0.5,72,True
+91-7993062551,lead6128@example.com,640,26-35,Married,590429,Salaried,Apartment,3817275,898896,1,2,5,1,1,0,1.93,4.4,53,False
+91-7031001012,lead6129@example.com,692,26-35,Single,1065094,Business Owner,Apartment,6756661,1545769,3,5,4,5,6,24,1.97,2.8,88,True
+91-9354553463,lead6130@example.com,652,36-50,Married with Kids,1044734,Salaried,Commercial,5991478,1415158,5,3,5,0,6,17,2.18,3.1,84,True
+91-8604788242,lead6131@example.com,644,36-50,Married with Kids,1481096,Business Owner,Villa,11464178,4512466,4,1,3,1,5,1,1.61,1.3,76,True
+91-7809906184,lead6132@example.com,616,26-35,Single,594435,Salaried,Commercial,4688872,1388866,1,5,12,4,7,17,1.58,6.9,64,True
+91-8768392070,lead6133@example.com,622,18-25,Married,291164,Salaried,Apartment,2034347,466005,5,2,11,2,2,9,1.79,0.4,54,False
+91-9407562635,lead6134@example.com,726,36-50,Married with Kids,832855,Salaried,Villa,5254459,1493334,2,4,4,3,4,6,1.98,1.1,79,True
+91-8877357553,lead6135@example.com,709,36-50,Married,1048200,Salaried,Apartment,7702923,2272511,0,0,4,0,2,1,1.7,2.3,65,True
+91-8695447268,lead6136@example.com,478,18-25,Married,304832,Salaried,Commercial,1842899,584357,5,2,1,2,4,6,2.07,11.2,59,False
+91-8073295668,lead6137@example.com,557,26-35,Married with Kids,736784,Business Owner,Apartment,5517670,1873413,1,1,3,3,2,0,1.67,4.2,53,False
+91-7701237129,lead6138@example.com,560,18-25,Married with Kids,328879,Salaried,Commercial,1735647,407608,1,4,3,2,2,3,2.37,8.1,56,False
+91-9774509349,lead6139@example.com,619,36-50,Married with Kids,672411,Self-Employed,Apartment,4731925,1147826,1,1,7,1,2,0,1.78,0.9,59,False
+91-8673848685,lead6140@example.com,733,36-50,Married with Kids,1539152,Business Owner,Villa,8405542,2996688,4,1,3,3,6,7,2.29,5.4,78,True
+91-8625035499,lead6141@example.com,702,36-50,Single,1218191,Self-Employed,Plot,9192401,1868566,5,1,5,4,2,4,1.66,0.5,82,True
+91-7947437263,lead6142@example.com,687,36-50,Single,1167681,Salaried,Commercial,7049360,1966562,2,0,4,0,1,21,2.07,5.4,65,True
+91-8129491690,lead6143@example.com,574,26-35,Married with Kids,656069,Salaried,Apartment,5122289,1339075,5,4,8,1,3,10,1.6,1.3,67,True
+91-7340203212,lead6144@example.com,723,36-50,Married,881516,Salaried,Villa,5242319,1835950,3,1,9,0,1,4,2.1,12.5,84,True
+91-8813504336,lead6145@example.com,737,51+,Single,1214198,Salaried,Villa,8828631,2404387,2,1,10,2,0,1,1.72,7.8,77,True
+91-9685741915,lead6146@example.com,553,36-50,Married with Kids,711218,Salaried,Apartment,4503357,1563265,3,5,1,3,5,4,1.97,0.7,72,True
+91-8028910147,lead6147@example.com,720,51+,Single,1568572,Salaried,Villa,8598899,2737647,1,1,7,3,3,7,2.28,11.4,86,True
+91-9218823320,lead6148@example.com,601,26-35,Married with Kids,661773,Salaried,Apartment,4469391,1047461,7,1,4,1,1,8,1.85,11.2,57,False
+91-9633743591,lead6149@example.com,575,18-25,Married with Kids,298382,Freelancer,Villa,1710159,638277,5,2,2,0,3,18,2.18,5.9,42,False
+91-9980383293,lead6150@example.com,585,18-25,Married with Kids,189549,Freelancer,Apartment,1475552,534015,2,4,4,1,4,5,1.61,1.7,49,False
+91-9940507653,lead6151@example.com,590,36-50,Married,781406,Salaried,Commercial,4690847,1845902,2,2,4,2,1,9,2.08,7.5,61,True
+91-8167651784,lead6152@example.com,595,26-35,Single,638399,Business Owner,Apartment,4819910,1472514,8,5,5,1,3,1,1.66,11.9,81,True
+91-8222677762,lead6153@example.com,559,36-50,Married with Kids,716450,Salaried,Apartment,4270030,986167,2,4,5,0,3,8,2.1,15.0,70,True
+91-9785101763,lead6154@example.com,643,26-35,Married with Kids,604916,Salaried,Villa,3731800,882905,4,1,7,2,2,1,2.03,5.7,64,True
+91-9284683201,lead6155@example.com,580,26-35,Married with Kids,524280,Salaried,Plot,3833806,1297604,6,2,8,2,2,7,1.71,7.6,62,True
+91-8154581796,lead6156@example.com,626,36-50,Single,987431,Salaried,Apartment,6565201,2253492,4,1,6,2,0,2,1.88,0.9,68,True
+91-8773408660,lead6157@example.com,765,36-50,Married,1320641,Self-Employed,Apartment,7994351,2024643,2,2,9,4,4,12,2.06,1.6,89,True
+91-7807456518,lead6158@example.com,726,36-50,Married with Kids,1301524,Self-Employed,Villa,8756051,1963232,2,2,2,3,1,13,1.86,5.0,58,False
+91-7294050451,lead6159@example.com,789,51+,Married,1850334,Business Owner,Apartment,13611675,4404431,2,1,5,2,1,2,1.7,1.9,83,True
+91-7783432867,lead6160@example.com,729,51+,Married with Kids,1912471,Business Owner,Plot,12678170,2724788,2,2,3,2,1,22,1.89,16.3,64,True
+91-7586795774,lead6161@example.com,655,51+,Married,1242667,Salaried,Villa,8239643,1908756,1,2,3,1,5,15,1.89,9.0,59,False
+91-8243802345,lead6162@example.com,634,18-25,Married,216758,Salaried,Apartment,1715695,464281,2,1,5,2,4,1,1.58,15.9,44,False
+91-7473976901,lead6163@example.com,647,26-35,Single,603228,Salaried,Apartment,3102851,1225392,1,0,7,0,3,7,2.43,1.3,51,False
+91-9735433372,lead6164@example.com,680,36-50,Married,1084748,Self-Employed,Villa,6129932,1302079,2,2,3,2,3,4,2.21,0.1,81,True
+91-8955683348,lead6165@example.com,608,26-35,Married,555444,Salaried,Plot,3967374,1071213,4,3,10,0,3,3,1.75,0.8,67,True
+91-9653127632,lead6166@example.com,617,26-35,Married,683315,Salaried,Commercial,3447629,1118214,3,3,6,0,6,0,2.48,1.1,68,True
+91-8944620470,lead6167@example.com,641,18-25,Married,285420,Business Owner,Apartment,1567930,474132,2,2,5,4,5,36,2.28,12.9,56,False
+91-8168807171,lead6168@example.com,683,26-35,Married with Kids,394737,Freelancer,Villa,3080765,1173862,6,3,4,5,2,2,1.6,10.1,71,True
+91-9674707124,lead6169@example.com,649,26-35,Married,820276,Business Owner,Villa,4227915,952873,3,0,7,1,1,10,2.43,0.7,80,True
+91-9113106808,lead6170@example.com,562,26-35,Single,573718,Salaried,Villa,4263611,883833,1,2,3,3,2,18,1.68,3.0,42,False
+91-7806549529,lead6171@example.com,679,36-50,Married,1038228,Self-Employed,Apartment,6878466,1435469,2,2,7,2,4,19,1.89,3.8,71,True
+91-8377154307,lead6172@example.com,708,36-50,Married,931005,Salaried,Apartment,6363733,1939009,0,2,6,1,4,4,1.83,1.3,79,True
+91-7083302600,lead6173@example.com,595,26-35,Married,574328,Salaried,Apartment,4263662,1499967,2,2,3,2,0,2,1.68,0.6,55,False
+91-7653476296,lead6174@example.com,665,36-50,Married with Kids,1164704,Self-Employed,Villa,7730364,2855573,2,3,6,3,3,7,1.88,2.2,83,True
+91-7213168097,lead6175@example.com,697,36-50,Married with Kids,1392492,Self-Employed,Plot,8027581,2235375,4,0,5,2,3,13,2.17,5.7,71,True
+91-9297681898,lead6176@example.com,573,18-25,Married,250056,Salaried,Commercial,1573022,414576,4,1,9,0,1,12,1.99,0.7,35,False
+91-7095051435,lead6177@example.com,590,36-50,Single,771103,Salaried,Apartment,4831473,1671459,2,3,6,1,4,19,2.0,0.2,63,True
+91-7798595882,lead6178@example.com,651,36-50,Married,1047710,Salaried,Plot,5840552,1917696,6,3,8,0,2,0,2.24,0.6,98,True
+91-7439261284,lead6179@example.com,693,18-25,Married with Kids,295128,Self-Employed,Villa,1939317,401665,3,0,11,3,1,1,1.9,8.6,58,False
+91-8211672712,lead6180@example.com,599,36-50,Married with Kids,1408677,Business Owner,Commercial,8271744,2578255,4,4,4,1,3,2,2.13,0.6,87,True
+91-8156184315,lead6181@example.com,613,36-50,Married,756770,Salaried,Villa,3856229,987121,3,2,2,1,1,15,2.45,10.4,50,False
+91-7537039291,lead6182@example.com,671,36-50,Married,833301,Salaried,Apartment,5751884,1865961,3,3,2,4,2,9,1.81,2.1,76,True
+91-8882985094,lead6183@example.com,703,26-35,Single,1212941,Business Owner,Apartment,8411162,3359436,3,1,4,1,7,0,1.8,24.7,83,True
+91-7035236295,lead6184@example.com,608,36-50,Single,1231096,Self-Employed,Apartment,8992971,3590901,5,3,3,3,5,5,1.71,8.3,76,True
+91-7999913493,lead6185@example.com,643,26-35,Married with Kids,851767,Self-Employed,Villa,5838146,1486069,2,0,9,6,6,19,1.82,0.6,64,True
+91-7387393108,lead6186@example.com,594,26-35,Married,685319,Self-Employed,Apartment,5037354,1991528,2,1,12,0,2,13,1.7,10.0,47,False
+91-7647181551,lead6187@example.com,639,26-35,Single,611881,Self-Employed,Apartment,4331206,877257,2,4,5,2,4,19,1.77,6.3,53,False
+91-7063242750,lead6188@example.com,589,26-35,Single,703576,Salaried,Villa,3571598,1308851,3,0,5,1,3,8,2.46,2.8,53,False
+91-9119908041,lead6189@example.com,650,26-35,Married,643830,Salaried,Apartment,3511322,1353938,6,1,10,2,3,2,2.29,4.5,87,True
+91-7932815734,lead6190@example.com,633,26-35,Married,524267,Salaried,Plot,3628771,839483,2,1,5,5,1,5,1.81,16.9,60,True
+91-8468504537,lead6191@example.com,682,51+,Married,846362,Salaried,Villa,4812686,1011335,8,2,5,2,3,1,2.2,1.3,100,True
+91-8804930077,lead6192@example.com,706,26-35,Married with Kids,809653,Self-Employed,Apartment,4324061,1645060,3,1,2,4,4,2,2.34,1.7,97,True
+91-8338211662,lead6193@example.com,701,51+,Married with Kids,1043792,Salaried,Commercial,7068569,1580488,6,6,7,0,5,0,1.85,0.6,95,True
+91-9140593461,lead6194@example.com,591,26-35,Married with Kids,562687,Salaried,Apartment,4128209,1031920,4,0,7,4,3,12,1.7,13.0,49,False
+91-8595138315,lead6195@example.com,600,26-35,Married with Kids,491921,Freelancer,Apartment,2756291,989707,2,2,3,0,2,2,2.23,0.2,47,False
+91-8991509618,lead6196@example.com,585,26-35,Married with Kids,996688,Business Owner,Villa,5726661,1769890,2,0,2,0,4,1,2.18,0.5,68,True
+91-9993312165,lead6197@example.com,664,36-50,Married,1038236,Business Owner,Apartment,5323590,1526703,2,2,3,1,5,5,2.44,2.8,83,True
+91-7136309890,lead6198@example.com,648,18-25,Single,187258,Freelancer,Plot,1267347,279563,2,3,1,1,0,2,1.85,2.8,39,False
+91-8418407139,lead6199@example.com,670,36-50,Married,1152382,Salaried,Apartment,6980477,2018453,5,1,3,2,3,8,2.06,5.6,86,True
+91-7344555557,lead6200@example.com,709,36-50,Married with Kids,1193051,Self-Employed,Apartment,7989369,3071499,4,1,4,1,3,4,1.87,6.9,71,True
+91-7627442454,lead6201@example.com,635,18-25,Married,241176,Self-Employed,Apartment,1584056,520694,3,2,8,1,4,8,1.9,2.0,60,True
+91-7240682864,lead6202@example.com,665,51+,Single,1561455,Salaried,Apartment,10952034,2883011,7,4,2,2,3,7,1.78,5.2,90,True
+91-8144624141,lead6203@example.com,600,26-35,Married,622690,Salaried,Plot,4469814,1279637,7,2,8,2,8,1,1.74,1.5,92,True
+91-8685438702,lead6204@example.com,648,26-35,Single,812239,Salaried,Plot,6338870,1517298,5,0,5,2,4,4,1.6,8.8,74,True
+91-7306594932,lead6205@example.com,621,26-35,Single,754206,Self-Employed,Villa,5667369,1184715,1,2,9,1,6,2,1.66,4.6,64,True
+91-9332991673,lead6206@example.com,644,26-35,Married,672930,Salaried,Villa,3510475,1351271,2,2,8,0,2,4,2.4,1.0,69,True
+91-9019265031,lead6207@example.com,674,26-35,Single,500954,Salaried,Villa,3068675,1168294,6,0,8,3,1,5,2.04,19.4,79,True
+91-7779982123,lead6208@example.com,644,26-35,Married with Kids,991229,Business Owner,Commercial,7235688,1965618,3,4,7,2,1,0,1.71,0.5,87,True
+91-7825459614,lead6209@example.com,579,18-25,Single,319922,Salaried,Apartment,2321405,731128,3,2,3,2,3,16,1.72,0.7,49,False
+91-8074083133,lead6210@example.com,594,36-50,Married with Kids,1103655,Self-Employed,Plot,6353181,1763702,3,3,4,3,4,14,2.17,0.1,74,True
+91-8638862478,lead6211@example.com,748,51+,Married,1504397,Salaried,Villa,8109128,2861572,2,1,3,1,3,3,2.32,1.4,67,True
+91-7054183126,lead6212@example.com,571,26-35,Married with Kids,659015,Salaried,Apartment,3369955,847870,2,4,2,1,2,4,2.44,3.0,64,True
+91-7523820885,lead6213@example.com,647,26-35,Single,1072632,Business Owner,Commercial,6874925,2053689,4,1,5,3,1,17,1.95,3.2,51,False
+91-8069285207,lead6214@example.com,613,26-35,Married with Kids,561468,Salaried,Plot,3851143,1087460,2,1,8,3,3,7,1.82,8.2,63,True
+91-8652694369,lead6215@example.com,539,26-35,Married,431807,Freelancer,Plot,2507619,754391,1,4,3,1,2,1,2.15,1.5,53,False
+91-8902502763,lead6216@example.com,559,26-35,Single,943013,Business Owner,Villa,6655163,1965334,2,1,7,2,1,17,1.77,3.7,42,False
+91-8061553531,lead6217@example.com,634,18-25,Single,312709,Salaried,Villa,1848558,564955,4,2,5,1,1,3,2.11,0.7,58,False
+91-7143925622,lead6218@example.com,615,18-25,Single,473013,Business Owner,Villa,2556678,598945,2,4,3,4,2,61,2.31,6.2,55,False
+91-7855471045,lead6219@example.com,608,36-50,Married with Kids,846255,Salaried,Apartment,5489386,1497238,0,2,7,2,3,1,1.93,12.6,76,True
+91-8979269680,lead6220@example.com,643,26-35,Married with Kids,941509,Business Owner,Apartment,5373309,1605099,2,3,7,4,3,0,2.19,3.2,83,True
+91-7403556437,lead6221@example.com,663,26-35,Married with Kids,846827,Business Owner,Apartment,4263400,1426511,3,0,6,1,5,0,2.48,11.1,88,True
+91-9238275479,lead6222@example.com,568,26-35,Married with Kids,632261,Salaried,Villa,4456770,1737582,4,1,7,2,2,1,1.77,8.4,65,True
+91-9860482054,lead6223@example.com,649,36-50,Married,1562688,Business Owner,Commercial,11101173,3307101,1,2,3,1,3,6,1.76,6.7,66,True
+91-7895273628,lead6224@example.com,710,36-50,Married with Kids,1422973,Business Owner,Villa,10961067,2506412,2,3,6,1,1,0,1.62,10.6,75,True
+91-9030770268,lead6225@example.com,607,26-35,Married with Kids,534449,Salaried,Villa,3476967,1215929,3,6,5,1,0,7,1.92,5.3,59,False
+91-8671270375,lead6226@example.com,548,36-50,Single,957927,Salaried,Commercial,4882159,1779905,5,3,9,2,2,0,2.45,0.7,83,True
+91-9926772459,lead6227@example.com,711,26-35,Married with Kids,618481,Salaried,Apartment,4480225,1210126,2,2,3,1,2,7,1.73,5.6,51,False
+91-8340499510,lead6228@example.com,497,26-35,Single,367089,Salaried,Apartment,2831874,782733,1,4,4,0,2,13,1.62,2.4,39,False
+91-8387545832,lead6229@example.com,584,18-25,Married,412417,Self-Employed,Plot,2163664,663986,4,0,4,1,2,4,2.38,0.7,48,False
+91-7681230929,lead6230@example.com,547,18-25,Married,273551,Salaried,Apartment,1813377,478109,5,1,3,4,0,51,1.89,6.7,31,False
+91-9702239879,lead6231@example.com,638,26-35,Married,809228,Self-Employed,Villa,5944560,1939343,3,3,7,2,2,4,1.7,1.2,79,True
+91-7181187132,lead6232@example.com,719,51+,Married with Kids,1105754,Salaried,Villa,8307533,1708741,6,1,7,2,3,22,1.66,1.5,79,True
+91-9360427902,lead6233@example.com,514,18-25,Married with Kids,262344,Salaried,Apartment,1492808,392551,2,1,6,4,3,0,2.2,1.9,60,True
+91-9237361243,lead6234@example.com,591,18-25,Single,292097,Salaried,Apartment,1489993,549931,6,1,8,2,0,43,2.45,12.1,51,False
+91-7524593800,lead6235@example.com,507,18-25,Married,361473,Business Owner,Villa,2414994,654132,4,2,4,3,4,9,1.87,18.1,57,False
+91-8087969934,lead6236@example.com,485,18-25,Married,361962,Self-Employed,Plot,2034671,502956,2,1,5,1,2,3,2.22,6.3,52,False
+91-9066865372,lead6237@example.com,574,36-50,Married with Kids,719724,Salaried,Apartment,4094718,1537046,1,3,2,1,1,4,2.2,13.7,58,False
+91-9742422573,lead6238@example.com,618,36-50,Married with Kids,835857,Self-Employed,Apartment,5219316,1815076,2,2,3,0,3,2,2.0,0.6,67,True
+91-8283392443,lead6239@example.com,557,26-35,Married with Kids,618249,Salaried,Villa,3409495,732748,3,0,6,1,0,1,2.27,8.0,50,False
+91-7853511493,lead6240@example.com,752,36-50,Married,1466087,Business Owner,Apartment,11509260,3642149,0,2,6,2,3,8,1.59,1.5,88,True
+91-8548020689,lead6241@example.com,658,36-50,Married with Kids,1318469,Self-Employed,Plot,8447234,3317541,2,1,5,1,5,3,1.95,0.5,81,True
+91-7223714148,lead6242@example.com,657,26-35,Married with Kids,1019584,Business Owner,Apartment,6451227,1839546,2,0,4,3,3,10,1.98,8.1,66,True
+91-9863432302,lead6243@example.com,638,26-35,Single,585361,Salaried,Apartment,3016115,681583,4,2,7,0,6,0,2.43,4.2,73,True
+91-7935393402,lead6244@example.com,661,26-35,Single,738448,Salaried,Plot,5143996,1367624,2,3,6,3,2,64,1.79,14.6,65,True
+91-7485024047,lead6245@example.com,625,26-35,Single,534821,Self-Employed,Villa,3030539,752911,6,3,2,2,4,10,2.21,4.7,69,True
+91-8013465558,lead6246@example.com,574,26-35,Married,623877,Self-Employed,Plot,3759568,803882,2,2,7,3,2,2,2.07,3.0,71,True
+91-9718323324,lead6247@example.com,637,26-35,Married,837107,Business Owner,Apartment,5238859,1730690,1,2,9,2,3,6,2.0,0.2,81,True
+91-8864710094,lead6248@example.com,682,26-35,Married,605239,Salaried,Apartment,3409296,1056697,2,1,8,2,1,1,2.22,0.7,77,True
+91-8393774816,lead6249@example.com,575,26-35,Married with Kids,676923,Salaried,Villa,4970006,1971028,3,2,6,0,3,3,1.7,2.9,67,True
+91-7064715310,lead6250@example.com,535,26-35,Married with Kids,601780,Salaried,Plot,4736819,1035194,1,1,6,5,3,1,1.59,5.4,71,True
+91-7718807242,lead6251@example.com,633,36-50,Married with Kids,1121036,Salaried,Apartment,7285084,2805599,4,3,4,1,2,2,1.92,3.8,75,True
+91-8185840646,lead6252@example.com,590,18-25,Single,271440,Self-Employed,Plot,1478720,481412,1,2,6,3,6,36,2.29,1.3,51,False
+91-9511253899,lead6253@example.com,580,36-50,Single,1162292,Self-Employed,Apartment,8341014,2165269,4,3,6,4,4,3,1.74,0.6,88,True
+91-7513891087,lead6254@example.com,655,36-50,Married with Kids,1099614,Salaried,Apartment,8056385,2148399,5,1,6,0,2,13,1.71,2.5,67,True
+91-8699983711,lead6255@example.com,740,36-50,Married,823901,Salaried,Villa,4426090,1485158,4,1,6,2,2,13,2.33,1.3,82,True
+91-8044060736,lead6256@example.com,713,26-35,Single,1006858,Self-Employed,Apartment,5400023,1568445,2,2,6,3,3,37,2.33,2.7,76,True
+91-7038353417,lead6257@example.com,579,51+,Married,1013994,Salaried,Apartment,7861062,2794281,3,2,6,2,1,12,1.61,2.2,53,False
+91-7180360149,lead6258@example.com,565,18-25,Married with Kids,357610,Self-Employed,Commercial,2339754,658921,1,1,2,4,5,0,1.91,4.4,52,False
+91-9495706809,lead6259@example.com,561,26-35,Married with Kids,623732,Self-Employed,Commercial,4615012,1808494,2,7,8,0,3,6,1.69,3.4,60,True
+91-9966754731,lead6260@example.com,587,36-50,Single,772113,Salaried,Apartment,4209813,903343,1,1,5,1,0,17,2.29,5.2,40,False
+91-9041272017,lead6261@example.com,621,26-35,Married with Kids,752605,Business Owner,Villa,5551669,2176847,5,2,5,2,5,1,1.69,16.6,73,True
+91-9956683572,lead6262@example.com,708,36-50,Married with Kids,1239417,Self-Employed,Apartment,9260950,1980077,3,1,3,0,3,11,1.67,0.8,58,False
+91-9560712271,lead6263@example.com,602,18-25,Married with Kids,254300,Salaried,Plot,1862415,561469,2,3,5,2,5,19,1.71,5.8,44,False
+91-7665685329,lead6264@example.com,542,36-50,Single,659346,Freelancer,Villa,4892720,1818194,0,1,3,4,4,3,1.68,2.2,64,True
+91-8595145112,lead6265@example.com,585,36-50,Married with Kids,671131,Salaried,Apartment,5095830,1877013,2,1,4,3,3,2,1.65,5.5,55,False
+91-7384313264,lead6266@example.com,582,36-50,Married with Kids,780449,Salaried,Apartment,5083485,1240748,3,3,6,3,1,3,1.92,1.7,69,True
+91-8068253975,lead6267@example.com,636,36-50,Married,692845,Salaried,Commercial,3854141,1122367,4,3,4,4,2,2,2.25,7.9,73,True
+91-7677309706,lead6268@example.com,720,36-50,Married with Kids,1503857,Business Owner,Plot,8380928,3060668,1,1,2,1,2,0,2.24,0.8,80,True
+91-9147136659,lead6269@example.com,555,26-35,Married,696871,Salaried,Apartment,4976153,1532586,2,2,3,0,4,16,1.75,4.3,47,False
+91-7392566677,lead6270@example.com,739,36-50,Married,888272,Salaried,Apartment,5493605,1922113,1,0,5,2,5,2,2.02,2.7,80,True
+91-9946109800,lead6271@example.com,606,18-25,Married,415299,Business Owner,Apartment,3228862,1089181,2,2,3,2,1,7,1.61,3.4,32,False
+91-9657059443,lead6272@example.com,624,36-50,Single,1008950,Self-Employed,Villa,5315096,1537622,1,3,5,4,4,4,2.37,0.4,81,True
+91-8453511837,lead6273@example.com,710,26-35,Single,777278,Salaried,Villa,5278711,1983790,6,4,4,5,3,5,1.84,5.2,91,True
+91-9684922912,lead6274@example.com,654,36-50,Married with Kids,726178,Self-Employed,Villa,4493753,1757725,3,0,6,1,1,0,2.02,0.7,71,True
+91-7257922823,lead6275@example.com,587,18-25,Married,381610,Salaried,Villa,2129780,620353,4,3,3,1,4,14,2.24,1.1,58,False
+91-7256732224,lead6276@example.com,652,51+,Married,1132298,Self-Employed,Apartment,6855740,2417962,4,2,5,1,5,1,2.06,0.5,91,True
